No;Provinsi;Tahun;Wilayah;Satuan;Fisik;Psikis;Seksual;Eksploitasi;TPPO;Penelantaran;Lainnya;Jumlah Kasus (Kasus);Jumlah Korban (Orang)
1;Jawa Tengah;2022;KABUPATEN CILACAP;Orang;2;5;6;1;0;0;3;11;11
2;Jawa Tengah;2022;KABUPATEN BANYUMAS;Orang;12;13;8;2;1;3;6;36;36
3;Jawa Tengah;2022;KABUPATEN PURBALINGGA;Orang;7;5;9;0;0;0;0;14;17
4;Jawa Tengah;2022;KABUPATEN BANJARNEGARA;Orang;4;9;4;0;0;3;0;16;16
5;Jawa Tengah;2022;KABUPATEN KEBUMEN;Orang;31;20;18;0;0;2;1;55;65
6;Jawa Tengah;2022;KABUPATEN PURWOREJO;Orang;5;21;4;0;0;6;0;24;24
7;Jawa Tengah;2022;KABUPATEN WONOSOBO;Orang;14;52;11;0;0;12;1;57;57
8;Jawa Tengah;2022;KABUPATEN MAGELANG;Orang;7;21;10;0;0;6;0;25;25
9;Jawa Tengah;2022;KABUPATEN BOYOLALI;Orang;10;17;6;0;0;7;1;26;26
10;Jawa Tengah;2022;KABUPATEN KLATEN;Orang;8;15;4;3;0;5;6;24;24
11;Jawa Tengah;2022;KABUPATEN SUKOHARJO;Orang;20;7;8;0;0;7;9;40;42
12;Jawa Tengah;2022;KABUPATEN WONOGIRI;Orang;3;2;6;0;0;1;0;6;10
13;Jawa Tengah;2022;KABUPATEN KARANGANYAR;Orang;14;2;4;0;0;0;1;19;19
14;Jawa Tengah;2022;KABUPATEN SRAGEN;Orang;4;2;0;0;0;0;1;5;5
15;Jawa Tengah;2022;KABUPATEN GROBOGAN;Orang;8;5;10;0;0;1;0;20;20
16;Jawa Tengah;2022;KABUPATEN BLORA;Orang;4;1;0;0;0;0;0;4;4
17;Jawa Tengah;2022;KABUPATEN REMBANG;Orang;4;2;2;0;0;0;0;6;6
18;Jawa Tengah;2022;KABUPATEN PATI;Orang;16;1;1;0;0;0;1;18;18
19;Jawa Tengah;2022;KABUPATEN KUDUS;Orang;3;5;2;0;0;2;1;6;6
